* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
427.148753	58.676591
433.361775	58.702284
439.665167	58.728351
446.060244	58.754797
452.548340	58.781627
459.130807	58.810834
465.809019	58.842464
472.584367	58.878753
479.458265	58.918940
486.432146	58.966239
493.507464	59.014225
500.685695	59.062909
507.968337	59.112302
515.356906	59.161114
522.852945	59.200541
530.458016	59.247830
538.173706	59.312320
546.001623	59.283306
553.943399	59.348451
562.000691	59.426915
570.175180	59.506519
578.468569	59.586992
586.882588	59.656783
595.418991	59.709498
604.079560	59.763836
612.866100	59.834533
621.780442	59.886086
630.824447	59.938389
640.000000	59.991453
649.309014	60.045288
658.753431	60.088713
668.335221	60.130954
678.056380	60.185177
687.918938	60.217783
697.924949	60.217940
708.076501	60.288673
718.375711	60.360435
728.824726	60.433240
739.425726	60.495217
750.180921	60.534772
761.092554	60.574189
772.162900	60.612632
783.394268	60.648219
794.789000	60.684323
806.349472	60.720953
818.078095	60.758115
829.977315	60.796249
842.049613	60.835802
854.297507	60.868781
866.723550	60.900553
879.330334	60.933272
892.120489	60.966518
905.096680	61.000249
918.261614	61.034469
931.618037	61.069188
945.168733	61.129170
958.916529	61.186926
972.864291	61.239591
987.014928	61.305988
1001.371391	61.299778
1015.936673	61.393194
1030.713812	61.487968
1045.705890	61.584121
1060.916032	61.670991
1076.347412	61.750061
1092.003245	61.829024
1107.886798	61.908050
1124.001383	62.005432
1140.350359	62.110084
1156.937137	62.216258
1173.765175	62.314495
1190.837983	62.393534
1208.159120	62.502660
1225.732199	62.611810
1243.560885	62.705695
1261.648894	62.814893
1280.000000	62.925678
1298.618029	63.038075
1317.506863	63.127457
1336.670442	63.220198
1356.112761	63.345687
1375.837875	63.391415
1395.849898	63.511472
1416.153002	63.669192
1436.751422	63.829206
1457.649452	63.927524
1478.851452	64.085571
1500.361842	64.200067
1522.185107	64.348115
1544.325799	64.524325
1566.788535	64.703099
1589.577999	64.847468
1612.698944	65.007418
