* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:23:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) R1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.916	-90.2065
20.600000	77.955	-90.5660
20.900000	78.050	-91.3186
21.200001	78.155	-92.1186
21.400000	78.227	-92.6235
21.799999	78.382	-93.5254
22.000000	78.466	-93.9151
22.400000	78.644	-94.5987
22.700001	78.782	-95.0733
23.000000	78.914	-95.5635
23.299999	79.032	-96.1011
23.600000	79.131	-96.7011
24.000000	79.231	-97.6066
24.299999	79.287	-98.3622
24.700001	79.348	-99.4624
25.000000	79.394	-100.3405
25.400000	79.462	-101.5340
25.799999	79.545	-102.6524
26.200001	79.646	-103.5671
26.500000	79.735	-104.0639
26.900000	79.870	-104.4683
27.200001	79.981	-104.6280
27.600000	80.135	-104.7615
28.000000	80.280	-104.9430
28.500000	80.429	-105.3693
29.000000	80.537	-106.0219
29.500000	80.620	-106.8241
30.000000	80.704	-107.7136
30.400000	80.780	-108.4710
30.700001	80.841	-109.0550
31.100000	80.920	-109.8219
31.500000	80.994	-110.5313
32.000000	81.078	-111.2842
32.500000	81.160	-111.8980
33.000000	81.246	-112.4584
33.500000	81.333	-113.0483
34.000000	81.411	-113.6861
34.500000	81.481	-114.3312
35.000000	81.549	-114.9559
35.500000	81.626	-115.5924
36.000000	81.714	-116.3060
36.500000	81.805	-117.1254
37.000000	81.891	-118.0074
37.500000	81.967	-118.8722
38.200001	82.061	-119.9495
38.700001	82.121	-120.6145
39.500000	82.197	-121.5180
40.000000	82.231	-121.9698
40.599998	82.270	-122.4032
41.200001	82.320	-122.7911
41.799999	82.389	-123.2276
42.500000	82.483	-123.8446
43.099998	82.565	-124.4238
43.700001	82.645	-125.0031
44.400002	82.731	-125.6787
45.000000	82.799	-126.2949
45.500000	82.852	-126.8624
46.200001	82.923	-127.7499
46.799999	82.977	-128.5599
47.500000	83.026	-129.4570
48.200001	83.058	-130.2198
48.700001	83.074	-130.6918
49.400002	83.091	-131.3174
50.000000	83.102	-131.8556
50.799999	83.120	-132.5610
51.500000	83.146	-133.1468
52.200001	83.178	-133.7001
53.000000	83.216	-134.2727
53.799999	83.253	-134.7717
54.500000	83.289	-135.1875
55.200001	83.330	-135.6395
56.000000	83.374	-136.2419
57.000000	83.411	-137.0883
