* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:24:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) R2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.839	-90.4683
20.600000	77.875	-90.6847
20.900000	77.964	-91.1497
21.200001	78.058	-91.6855
21.400000	78.120	-92.0703
21.799999	78.243	-92.9110
22.000000	78.303	-93.3679
22.400000	78.423	-94.3485
22.700001	78.511	-95.1098
23.000000	78.599	-95.8472
23.299999	78.691	-96.5221
23.600000	78.790	-97.1181
24.000000	78.938	-97.7988
24.299999	79.061	-98.2609
24.700001	79.232	-98.8745
25.000000	79.359	-99.3633
25.400000	79.514	-100.0584
25.799999	79.647	-100.7700
26.200001	79.760	-101.4575
26.500000	79.837	-101.9496
26.900000	79.934	-102.5903
27.200001	80.006	-103.0831
27.600000	80.100	-103.7883
28.000000	80.190	-104.5666
28.500000	80.291	-105.6190
29.000000	80.376	-106.6688
29.500000	80.450	-107.6081
30.000000	80.528	-108.3873
30.400000	80.603	-108.9379
30.700001	80.667	-109.3545
31.100000	80.759	-109.9743
31.500000	80.851	-110.6917
32.000000	80.955	-111.6822
32.500000	81.048	-112.6573
33.000000	81.142	-113.5195
33.500000	81.241	-114.2757
34.000000	81.338	-114.9953
34.500000	81.415	-115.7191
35.000000	81.467	-116.4269
35.500000	81.503	-117.0824
36.000000	81.545	-117.6926
36.500000	81.608	-118.3040
37.000000	81.689	-118.9536
37.500000	81.773	-119.6270
38.200001	81.866	-120.5125
38.700001	81.907	-121.0560
39.500000	81.944	-121.7890
40.000000	81.968	-122.1932
40.599998	82.013	-122.6396
41.200001	82.084	-123.0582
41.799999	82.173	-123.4804
42.500000	82.283	-124.0345
43.099998	82.376	-124.6188
43.700001	82.468	-125.3499
44.400002	82.568	-126.3651
45.000000	82.641	-127.2562
45.500000	82.692	-127.9155
46.200001	82.755	-128.6674
46.799999	82.805	-129.2136
47.500000	82.855	-129.8430
48.200001	82.894	-130.5001
48.700001	82.916	-130.9812
49.400002	82.943	-131.6648
50.000000	82.962	-132.2458
50.799999	82.985	-132.9582
51.500000	83.012	-133.4883
52.200001	83.050	-133.9537
53.000000	83.093	-134.4545
53.799999	83.126	-134.9483
54.500000	83.148	-135.4046
55.200001	83.171	-135.9247
56.000000	83.197	-136.6000
57.000000	83.220	-137.4453
58.000000	83.227	-138.1261
59.000000	83.220	-138.5546
60.000000	83.220	-138.6964
60.799999	83.249	-138.6766
61.500000	83.300	-138.6924
62.200001	83.366	-138.8424
63.000000	83.443	-139.2128
64.000000	83.522	-139.8840
65.000000	83.578	-140.6115
66.000000	83.616	-141.2646
67.000000	83.644	-141.8158
68.000000	83.665	-142.3069
69.000000	83.681	-142.7717
70.000000	83.696	-143.2034
71.000000	83.709	-143.5863
72.000000	83.722	-143.9245
73.000000	83.733	-144.2148
74.000000	83.747	-144.4314
75.000000	83.772	-144.5644
76.199997	83.822	-144.6689
77.500000	83.899	-144.8347
78.800003	83.992	-145.1504
80.000000	84.077	-145.5822
81.199997	84.149	-146.0966
82.500000	84.214	-146.6764
83.800003	84.273	-147.2279
85.000000	84.325	-147.7019
86.199997	84.380	-148.1738
87.500000	84.438	-148.7259
88.500000	84.481	-149.1840
90.000000	84.537	-149.8952
91.199997	84.574	-150.4709
92.500000	84.607	-151.1072
93.800003	84.632	-151.7531
95.000000	84.647	-152.3389
96.199997	84.658	-152.9007
97.500000	84.667	-153.4752
98.800003	84.674	-154.0136
100.000000	84.679	-154.4821
101.500000	84.683	-155.0341
103.000000	84.686	-155.5554
104.400002	84.688	-156.0244
106.000000	84.689	-156.5578
107.500000	84.688	-157.0672
109.000000	84.680	-157.5679
110.599998	84.661	-158.0601
112.000000	84.637	-158.4419
113.800003	84.603	-158.8584
115.000000	84.582	-159.0903
117.199997	84.549	-159.4299
118.000000	84.540	-159.5272
120.599998	84.520	-159.7394
122.000000	84.520	-159.7908
124.099998	84.537	-159.8342
125.000000	84.550	-159.8603
126.500000	84.579	-159.9400
128.000000	84.613	-160.0842
131.500000	84.692	-160.6713
132.000000	84.702	-160.7762
134.000000	84.737	-161.2210
136.000000	84.765	-161.6840
138.000000	84.785	-162.1522
140.000000	84.799	-162.6224
143.000000	84.810	-163.3192
145.000000	84.812	-163.7698
147.500000	84.808	-164.3107
150.000000	84.799	-164.8276
152.500000	84.787	-165.3331
155.000000	84.773	-165.8294
157.500000	84.753	-166.3119
160.000000	84.725	-166.7746
162.500000	84.688	-167.1958
165.000000	84.643	-167.5464
167.500000	84.595	-167.8070
170.000000	84.552	-167.9870
172.500000	84.516	-168.1193
175.000000	84.487	-168.2236
177.500000	84.466	-168.3008
180.000000	84.451	-168.3555
182.500000	84.444	-168.4143
185.000000	84.443	-168.5014
187.500000	84.446	-168.6257
190.000000	84.449	-168.7865
192.500000	84.451	-168.9784
195.000000	84.448	-169.1930
197.500000	84.441	-169.4164
200.000000	84.429	-169.6324
203.000000	84.411	-169.8680
206.000000	84.391	-170.0814
209.000000	84.366	-170.2748
212.000000	84.339	-170.4268
214.000000	84.322	-170.4996
218.000000	84.292	-170.6085
220.000000	84.280	-170.6597
224.000000	84.262	-170.7652
227.000000	84.251	-170.8458
230.000000	84.241	-170.9319
233.000000	84.232	-171.0278
236.000000	84.222	-171.1332
240.000000	84.206	-171.2779
243.000000	84.193	-171.3789
247.000000	84.172	-171.4928
250.000000	84.156	-171.5625
254.000000	84.134	-171.6476
258.000000	84.112	-171.7408
262.000000	84.090	-171.8329
265.000000	84.076	-171.8891
269.000000	84.059	-171.9509
272.000000	84.048	-171.9969
276.000000	84.032	-172.0626
280.000000	84.015	-172.1280
285.000000	83.991	-172.2039
290.000000	83.965	-172.2823
295.000000	83.937	-172.3634
300.000000	83.905	-172.4265
304.000000	83.875	-172.4377
307.000000	83.851	-172.4105
311.000000	83.822	-172.3282
315.000000	83.800	-172.2194
320.000000	83.782	-172.0962
325.000000	83.769	-172.0064
330.000000	83.756	-171.9377
335.000000	83.741	-171.8764
340.000000	83.725	-171.8152
345.000000	83.709	-171.7526
350.000000	83.693	-171.6916
355.000000	83.677	-171.6340
360.000000	83.663	-171.5813
365.000000	83.647	-171.5370
370.000000	83.629	-171.4977
375.000000	83.609	-171.4450
382.000000	83.579	-171.3117
387.000000	83.559	-171.1745
395.000000	83.530	-170.9099
400.000000	83.517	-170.7343
406.000000	83.506	-170.5300
412.000000	83.500	-170.3425
418.000000	83.496	-170.1831
425.000000	83.491	-170.0254
431.000000	83.485	-169.8975
437.000000	83.476	-169.7704
444.000000	83.462	-169.6161
450.000000	83.448	-169.4675
455.000000	83.436	-169.3300
462.000000	83.420	-169.1202
468.000000	83.406	-168.9207
475.000000	83.393	-168.6565
482.000000	83.385	-168.3651
487.000000	83.383	-168.1549
494.000000	83.385	-167.8782
500.000000	83.389	-167.6626
508.000000	83.394	-167.3958
515.000000	83.397	-167.1701
522.000000	83.400	-166.9459
530.000000	83.406	-166.6918
538.000000	83.412	-166.4362
545.000000	83.418	-166.2085
552.000000	83.425	-165.9840
560.000000	83.436	-165.7461
570.000000	83.449	-165.4751
580.000000	83.459	-165.2038
590.000000	83.467	-164.9176
600.000000	83.477	-164.6206
608.000000	83.487	-164.3903
615.000000	83.497	-164.2076
622.000000	83.506	-164.0455
630.000000	83.511	-163.8744
640.000000	83.509	-163.6443
650.000000	83.500	-163.3350
660.000000	83.497	-162.9258
670.000000	83.508	-162.4689
680.000000	83.531	-162.0219
690.000000	83.563	-161.6206
700.000000	83.601	-161.2774
710.000000	83.639	-160.9913
720.000000	83.673	-160.7565
730.000000	83.701	-160.5472
740.000000	83.722	-160.3221
750.000000	83.743	-160.0620
762.000000	83.777	-159.7263
775.000000	83.825	-159.4076
788.000000	83.877	-159.2123
800.000000	83.915	-159.1404
812.000000	83.933	-159.1081
825.000000	83.932	-159.0188
838.000000	83.925	-158.8202
850.000000	83.924	-158.5833
862.000000	83.928	-158.3899
875.000000	83.918	-158.2853
885.000000	83.884	-158.2165
900.000000	83.782	-157.8356
912.000000	83.686	-157.0530
925.000000	83.628	-155.7412
938.000000	83.651	-154.2675
950.000000	83.734	-153.0457
962.000000	83.848	-152.0615
975.000000	83.985	-151.2529
988.000000	84.122	-150.6571
1000.000000	84.244	-150.2469
1015.000000	84.386	-149.8761
1030.000000	84.515	-149.6189
1044.000000	84.624	-149.4409
1060.000000	84.734	-149.2543
1075.000000	84.830	-149.0606
1090.000000	84.926	-148.8648
1106.000000	85.028	-148.6878
1120.000000	85.116	-148.5725
1138.000000	85.221	-148.4600
1150.000000	85.287	-148.3974
1172.000000	85.398	-148.2710
1180.000000	85.439	-148.2142
1206.000000	85.576	-148.0783
1220.000000	85.647	-148.0777
1241.000000	85.734	-148.0934
1250.000000	85.766	-148.0696
1265.000000	85.823	-147.9814
1280.000000	85.886	-147.8776
1315.000000	86.041	-147.7964
1320.000000	86.061	-147.8085
1340.000000	86.129	-147.8759
1360.000000	86.180	-147.8778
1380.000000	86.229	-147.7725
1400.000000	86.282	-147.6232
1430.000000	86.364	-147.3475
1450.000000	86.426	-147.1277
1475.000000	86.511	-146.8949
1500.000000	86.589	-146.7053
1525.000000	86.661	-146.4595
1550.000000	86.741	-146.1540
1575.000000	86.831	-145.8679
1600.000000	86.917	-145.6236
1625.000000	87.002	-145.3322
1650.000000	87.098	-145.0115
1675.000000	87.201	-144.7504
1700.000000	87.300	-144.5525
1725.000000	87.388	-144.3449
1750.000000	87.474	-144.0613
1775.000000	87.571	-143.6930
1800.000000	87.687	-143.3036
1825.000000	87.822	-142.9935
1850.000000	87.963	-142.8094
1875.000000	88.102	-142.7583
1900.000000	88.226	-142.8270
1925.000000	88.327	-142.9378
1950.000000	88.405	-142.9907
1975.000000	88.466	-142.8791
2000.000000	88.534	-142.5188
2030.000000	88.669	-141.9113
2060.000000	88.853	-141.5108
2090.000000	89.024	-141.4397
2120.000000	89.154	-141.3468
2140.000000	89.240	-141.1188
2180.000000	89.477	-140.4801
2200.000000	89.623	-140.2688
2240.000000	89.908	-140.1708
2270.000000	90.108	-140.1162
2300.000000	90.331	-140.0195
2330.000000	90.577	-140.0858
2360.000000	90.821	-140.3770
2400.000000	91.127	-140.9469
2430.000000	91.350	-141.4529
2470.000000	91.637	-142.2639
2500.000000	91.839	-142.9246
2540.000000	92.105	-143.7942
2580.000000	92.384	-144.7408
2620.000000	92.660	-145.9355
2650.000000	92.846	-146.9533
2690.000000	93.073	-148.3305
2720.000000	93.235	-149.3505
2760.000000	93.452	-150.7017
2800.000000	93.678	-152.1319
2850.000000	93.953	-154.2404
2900.000000	94.172	-156.6104
2950.000000	94.351	-158.9196
3000.000000	94.519	-161.2589
3040.000000	94.630	-163.2125
3070.000000	94.699	-164.6656
3110.000000	94.780	-166.5625
3150.000000	94.854	-168.4573
3200.000000	94.934	-170.8571
3250.000000	94.994	-173.3194
3300.000000	95.028	-175.7787
3350.000000	95.050	-178.1850
3400.000000	95.070	179.3096
3450.000000	95.063	176.6339
3500.000000	95.013	173.8996
3550.000000	94.923	171.1857
3600.000000	94.791	168.5432
3650.000000	94.620	166.0667
3700.000000	94.423	163.8173
3750.000000	94.217	161.7220
3820.000000	93.903	158.8708
3870.000000	93.643	156.9706
3950.000000	93.168	154.3470
4000.000000	92.837	153.0695
4060.000000	92.428	152.0002
4120.000000	92.028	151.3512
4180.000000	91.639	151.1094
4250.000000	91.221	151.3557
4310.000000	90.916	151.9680
4370.000000	90.683	152.8397
4440.000000	90.523	153.8855
4500.000000	90.470	154.5366
4550.000000	90.463	154.7988
4620.000000	90.476	154.6858
4680.000000	90.480	154.1984
4750.000000	90.452	153.2882
4820.000000	90.373	152.1880
4870.000000	90.284	151.4024
4940.000000	90.127	150.4019
5000.000000	89.969	149.6786
5080.000000	89.741	148.9493
5150.000000	89.538	148.5017
5220.000000	89.334	148.2232
5300.000000	89.108	148.1517
5380.000000	88.905	148.3616
5450.000000	88.770	148.7505
5520.000000	88.697	149.1865
5600.000000	88.697	149.4609
5700.000000	88.789	148.9520
5800.000000	88.869	147.0910
5900.000000	88.809	144.1286
6000.000000	88.537	140.8004
6080.000000	88.165	138.4401
6150.000000	87.746	136.8817
6220.000000	87.263	135.9426
6300.000000	86.670	135.6933
6400.000000	85.930	136.5317
6500.000000	85.252	138.4042
6600.000000	84.676	141.0109
6700.000000	84.226	144.0632
6800.000000	83.905	147.2967
6900.000000	83.701	150.5256
7000.000000	83.603	153.6138
7100.000000	83.598	156.4444
7200.000000	83.672	158.9101
7300.000000	83.805	160.9283
7400.000000	83.978	162.4317
7500.000000	84.167	163.3882
7620.000000	84.384	163.8412
7750.000000	84.573	163.6294
7880.000000	84.699	162.9368
8000.000000	84.767	162.0418
8120.000000	84.801	160.9796
8250.000000	84.820	159.6484
8380.000000	84.849	157.9250
8500.000000	84.880	155.5623
8620.000000	84.849	152.0510
8750.000000	84.616	146.9875
8850.000000	84.203	142.8239
9000.000000	83.125	138.1426
9120.000000	81.920	137.2816
9250.000000	80.434	139.9027
9380.000000	78.983	145.8599
9500.000000	77.879	153.6039
9620.000000	77.178	162.7144
9750.000000	77.013	173.1357
9880.000000	77.470	-177.0226
10000.000000	78.300	-169.4128
10150.000000	79.597	-162.8031
10300.000000	80.912	-159.7557
10440.000000	81.992	-159.9312
10600.000000	82.926	-163.0406
10750.000000	83.438	-167.7206
10900.000000	83.583	-172.7701
11060.000000	83.390	-177.1955
11200.000000	83.014	-179.5427
11380.000000	82.391	179.8355
11500.000000	81.967	-179.1703
11720.000000	81.337	-174.8685
11800.000000	81.198	-172.6066
12060.000000	81.402	-163.0654
12200.000000	82.148	-157.1715
12410.000000	84.087	-150.0835
12500.000000	85.055	-148.7679
12650.000000	86.573	-150.0950
12800.000000	87.754	-156.0780
13150.000000	88.680	179.8635
13200.000000	88.622	176.3691
13400.000000	88.071	164.1126
13600.000000	87.220	154.8699
13800.000000	86.273	148.0488
14000.000000	85.358	142.8568
14300.000000	84.250	136.3028
14500.000000	83.761	131.0583
14750.000000	83.259	121.4991
15000.000000	82.492	108.4575
15250.000000	81.188	93.7289
15500.000000	79.390	78.2264
15750.000000	77.425	60.0680
16000.000000	75.945	36.1701
16250.000000	75.793	5.5780
16500.000000	76.897	-29.1543
16750.000000	78.187	-63.9152
17000.000000	78.903	-95.1722
17250.000000	78.791	-120.2788
17500.000000	77.823	-136.7603
17750.000000	76.101	-142.1145
18000.000000	73.988	-135.8405
18250.000000	72.402	-121.7852
18500.000000	72.390	-106.4692
18750.000000	73.702	-94.8474
19000.000000	75.407	-88.8226
19250.000000	76.988	-88.2778
19500.000000	78.238	-91.8624
19750.000000	79.079	-97.1301
