* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:21:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.870	-89.4989
20.600000	77.913	-89.8247
20.900000	78.021	-90.5077
21.200001	78.142	-91.2413
21.400000	78.223	-91.7293
21.799999	78.383	-92.7072
22.000000	78.457	-93.1997
22.400000	78.589	-94.1912
22.700001	78.672	-94.9084
23.000000	78.745	-95.5602
23.299999	78.818	-96.1219
23.600000	78.900	-96.5975
24.000000	79.033	-97.1409
24.299999	79.151	-97.5354
24.700001	79.319	-98.1005
25.000000	79.441	-98.5583
25.400000	79.581	-99.1724
25.799999	79.691	-99.7215
26.200001	79.780	-100.1827
26.500000	79.843	-100.5096
26.900000	79.933	-101.0095
27.200001	80.009	-101.4952
27.600000	80.117	-102.3262
28.000000	80.227	-103.3176
28.500000	80.361	-104.5978
29.000000	80.494	-105.7085
29.500000	80.625	-106.5683
30.000000	80.748	-107.2298
30.400000	80.836	-107.6819
30.700001	80.897	-108.0065
31.100000	80.977	-108.4656
31.500000	81.064	-109.0103
32.000000	81.182	-109.8843
32.500000	81.297	-110.9481
33.000000	81.391	-112.0027
33.500000	81.464	-112.8055
34.000000	81.537	-113.2647
34.500000	81.628	-113.5452
35.000000	81.730	-113.9060
35.500000	81.818	-114.4925
36.000000	81.879	-115.2371
36.500000	81.923	-115.9917
37.000000	81.975	-116.6813
37.500000	82.052	-117.3438
38.200001	82.185	-118.3260
38.700001	82.279	-119.0526
39.500000	82.406	-120.1415
40.000000	82.474	-120.7750
40.599998	82.548	-121.5309
41.200001	82.614	-122.2990
41.799999	82.676	-123.0571
42.500000	82.748	-123.8962
43.099998	82.808	-124.5692
43.700001	82.862	-125.2133
44.400002	82.915	-125.9621
45.000000	82.954	-126.6275
45.500000	82.985	-127.2032
46.200001	83.032	-128.0304
46.799999	83.076	-128.7400
47.500000	83.125	-129.5293
48.200001	83.166	-130.2338
48.700001	83.189	-130.6798
49.400002	83.216	-131.2509
50.000000	83.236	-131.7101
50.799999	83.262	-132.2666
51.500000	83.290	-132.7011
52.200001	83.326	-133.1384
53.000000	83.366	-133.6933
53.799999	83.401	-134.2814
54.500000	83.440	-134.8067
55.200001	83.490	-135.3856
56.000000	83.546	-136.1546
57.000000	83.573	-137.1564
58.000000	83.547	-137.9669
59.000000	83.503	-138.5145
60.000000	83.482	-138.8253
60.799999	83.497	-138.9695
61.500000	83.533	-139.1205
62.200001	83.574	-139.3626
63.000000	83.608	-139.7393
64.000000	83.619	-140.2113
65.000000	83.608	-140.4837
66.000000	83.607	-140.4814
67.000000	83.641	-140.3195
68.000000	83.710	-140.2081
69.000000	83.799	-140.2950
70.000000	83.893	-140.5904
71.000000	83.984	-141.0104
72.000000	84.062	-141.4578
