* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:21:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.903	-89.4363
20.600000	77.937	-89.6950
20.900000	78.017	-90.2458
21.200001	78.100	-90.8637
21.400000	78.154	-91.2913
21.799999	78.269	-92.1852
22.000000	78.333	-92.6584
22.400000	78.489	-93.6865
22.700001	78.634	-94.5516
23.000000	78.798	-95.5089
23.299999	78.970	-96.5387
23.600000	79.135	-97.5896
24.000000	79.322	-98.8965
24.299999	79.426	-99.6841
24.700001	79.517	-100.3516
25.000000	79.559	-100.5447
25.400000	79.605	-100.4882
25.799999	79.662	-100.3310
26.200001	79.742	-100.3884
26.500000	79.812	-100.7053
26.900000	79.907	-101.5245
27.200001	79.972	-102.3613
27.600000	80.047	-103.5975
28.000000	80.115	-104.7546
28.500000	80.203	-105.8793
29.000000	80.302	-106.6291
29.500000	80.405	-107.1430
30.000000	80.505	-107.6072
30.400000	80.582	-108.0469
30.700001	80.641	-108.4518
31.100000	80.724	-109.1064
31.500000	80.812	-109.8660
32.000000	80.932	-110.8613
32.500000	81.064	-111.7767
33.000000	81.208	-112.5517
33.500000	81.356	-113.2327
34.000000	81.492	-113.9068
34.500000	81.602	-114.6280
35.000000	81.682	-115.4054
35.500000	81.737	-116.2291
36.000000	81.772	-117.0741
36.500000	81.795	-117.8920
37.000000	81.820	-118.6250
37.500000	81.860	-119.2537
38.200001	81.955	-120.0356
38.700001	82.044	-120.5973
39.500000	82.180	-121.5255
40.000000	82.246	-122.0848
40.599998	82.301	-122.7287
41.200001	82.333	-123.3892
41.799999	82.346	-124.0891
42.500000	82.346	-124.8796
43.099998	82.344	-125.4082
43.700001	82.353	-125.7267
44.400002	82.392	-125.8913
45.000000	82.450	-126.0042
45.500000	82.509	-126.1764
46.200001	82.597	-126.5750
46.799999	82.670	-127.0167
47.500000	82.754	-127.5887
48.200001	82.834	-128.2319
48.700001	82.887	-128.7386
49.400002	82.954	-129.4605
50.000000	83.015	-130.0321
50.799999	83.110	-130.7248
51.500000	83.193	-131.3270
52.200001	83.259	-131.9411
53.000000	83.311	-132.6169
53.799999	83.358	-133.2724
54.500000	83.404	-133.9062
55.200001	83.445	-134.6619
56.000000	83.462	-135.6385
57.000000	83.436	-136.7577
58.000000	83.395	-137.5082
59.000000	83.366	-137.9039
60.000000	83.358	-138.0503
60.799999	83.381	-138.1272
61.500000	83.421	-138.2806
62.200001	83.464	-138.5415
63.000000	83.498	-138.9027
64.000000	83.511	-139.2802
65.000000	83.511	-139.4229
66.000000	83.532	-139.3182
67.000000	83.597	-139.1363
68.000000	83.700	-139.0930
69.000000	83.821	-139.2736
70.000000	83.940	-139.6270
71.000000	84.051	-140.0615
72.000000	84.153	-140.5296
73.000000	84.246	-141.0338
74.000000	84.331	-141.5828
75.000000	84.413	-142.1879
76.199997	84.506	-143.0045
77.500000	84.589	-143.9608
78.800003	84.650	-144.8934
80.000000	84.695	-145.6867
81.199997	84.736	-146.4111
