* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:22:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
345.000000	83.966	-173.3604
350.000000	83.944	-173.2729
355.000000	83.923	-173.1783
360.000000	83.903	-173.0841
365.000000	83.885	-172.9915
370.000000	83.868	-172.8972
375.000000	83.850	-172.7977
382.000000	83.822	-172.6451
387.000000	83.801	-172.5224
395.000000	83.767	-172.2959
400.000000	83.746	-172.1350
406.000000	83.726	-171.9225
412.000000	83.711	-171.6948
418.000000	83.702	-171.4654
425.000000	83.694	-171.2159
431.000000	83.688	-171.0219
437.000000	83.681	-170.8411
444.000000	83.673	-170.6397
450.000000	83.666	-170.4641
455.000000	83.660	-170.3102
462.000000	83.651	-170.0875
468.000000	83.643	-169.8998
475.000000	83.635	-169.6815
482.000000	83.628	-169.4450
487.000000	83.625	-169.2637
494.000000	83.623	-169.0066
500.000000	83.624	-168.7931
508.000000	83.626	-168.5244
515.000000	83.628	-168.3000
522.000000	83.632	-168.0824
530.000000	83.638	-167.8504
538.000000	83.644	-167.6422
545.000000	83.645	-167.4715
552.000000	83.641	-167.2933
560.000000	83.632	-167.0602
570.000000	83.620	-166.7068
580.000000	83.617	-166.2911
590.000000	83.625	-165.8584
600.000000	83.643	-165.4603
608.000000	83.660	-165.1804
615.000000	83.675	-164.9581
622.000000	83.686	-164.7438
630.000000	83.698	-164.4924
640.000000	83.713	-164.1569
650.000000	83.732	-163.8033
660.000000	83.757	-163.4625
670.000000	83.784	-163.1666
680.000000	83.809	-162.9021
690.000000	83.829	-162.6305
700.000000	83.850	-162.3338
710.000000	83.876	-162.0303
720.000000	83.908	-161.7468
730.000000	83.941	-161.4966
740.000000	83.975	-161.2836
750.000000	84.008	-161.1106
762.000000	84.040	-160.9437
775.000000	84.065	-160.7594
788.000000	84.087	-160.5289
800.000000	84.114	-160.3054
812.000000	84.145	-160.1264
825.000000	84.178	-160.0274
838.000000	84.201	-160.0398
850.000000	84.202	-160.1314
862.000000	84.172	-160.2495
875.000000	84.096	-160.2721
885.000000	84.007	-160.0680
900.000000	83.863	-159.1792
912.000000	83.791	-158.0021
925.000000	83.791	-156.5631
938.000000	83.860	-155.2690
950.000000	83.955	-154.3205
962.000000	84.057	-153.5863
975.000000	84.164	-152.9503
988.000000	84.266	-152.4026
1000.000000	84.357	-151.9353
1015.000000	84.476	-151.3875
1030.000000	84.604	-150.9240
1044.000000	84.726	-150.6230
1060.000000	84.858	-150.4277
1075.000000	84.968	-150.3374
1090.000000	85.063	-150.3015
1106.000000	85.146	-150.2722
1120.000000	85.210	-150.2040
1138.000000	85.289	-150.0541
1150.000000	85.343	-149.9377
1172.000000	85.445	-149.7241
1180.000000	85.484	-149.6546
1206.000000	85.610	-149.5045
1220.000000	85.673	-149.4902
1241.000000	85.747	-149.5116
1250.000000	85.772	-149.4988
1265.000000	85.809	-149.4041
1280.000000	85.852	-149.2289
1315.000000	85.995	-148.8895
1320.000000	86.017	-148.8812
1340.000000	86.087	-148.9393
1360.000000	86.124	-148.9954
1380.000000	86.140	-148.8724
1400.000000	86.162	-148.5288
1430.000000	86.243	-147.8472
1450.000000	86.320	-147.4994
1475.000000	86.408	-147.1849
1500.000000	86.485	-146.8243
1525.000000	86.575	-146.3687
1550.000000	86.685	-145.9955
1575.000000	86.786	-145.7306
1600.000000	86.879	-145.3905
1625.000000	86.991	-145.0216
1650.000000	87.112	-144.7756
1675.000000	87.223	-144.6091
1700.000000	87.330	-144.4478
1725.000000	87.438	-144.3065
1750.000000	87.543	-144.2103
1775.000000	87.640	-144.1177
1800.000000	87.736	-144.0033
1825.000000	87.835	-143.9240
1850.000000	87.926	-143.9027
1875.000000	88.004	-143.8727
1900.000000	88.076	-143.8264
1925.000000	88.132	-143.7724
1950.000000	88.166	-143.5957
